Dataset,Primary_Model,Secondary_Model,Hybrid_Combination,Accuracy,Precision,Recall,F1_Score,AUC,Time_Seconds
D3,M4,M10,M4 + M10,0.982,0.9938144329896907,0.9698189134808853,0.9816700610997964,0.997479909276734,0.6764042377471924
D3,M5,M10,M5 + M10,0.945,0.9642857142857143,0.9235412474849095,0.9434737923946557,0.9845194426999372,1.1120178699493408
D4,M1,M6,M1 + M6,0.999,0.5,1.0,0.6666666666666666,0.9994994994994996,1.2178761959075928
D4,M2,M6,M2 + M6,0.999,0.0,0.0,0.0,1.0,0.36848902702331543
D4,M3,M6,M3 + M6,0.999,0.0,0.0,0.0,1.0,0.1945962905883789
D4,M4,M6,M4 + M6,0.999,0.0,0.0,0.0,1.0,0.2691829204559326
D4,M5,M6,M5 + M6,0.998,0.0,0.0,0.0,0.2652652652652653,0.6370511054992676
D4,M1,M7,M1 + M7,0.999,0.5,1.0,0.6666666666666666,0.9994994994994996,1.186812162399292
D4,M2,M7,M2 + M7,0.999,0.0,0.0,0.0,1.0,0.44729113578796387
D4,M3,M7,M3 + M7,0.999,0.0,0.0,0.0,1.0,0.20775818824768066
D4,M4,M7,M4 + M7,0.999,0.0,0.0,0.0,1.0,0.27122998237609863
D4,M5,M7,M5 + M7,0.996,0.0,0.0,0.0,0.09009009009009006,0.6521258354187012
D4,M1,M8,M1 + M8,0.999,0.5,1.0,0.6666666666666666,0.9994994994994996,1.623715877532959
D4,M2,M8,M2 + M8,0.999,0.0,0.0,0.0,1.0,2.870626211166382
D4,M3,M8,M3 + M8,0.999,0.0,0.0,0.0,1.0,0.3686540126800537
D4,M4,M8,M4 + M8,0.999,0.0,0.0,0.0,1.0,0.3089301586151123
D4,M5,M8,M5 + M8,0.998,0.0,0.0,0.0,0.33333333333333337,0.8188202381134033
D4,M1,M9,M1 + M9,0.999,0.5,1.0,0.6666666666666666,0.9994994994994996,1.251760721206665
D4,M2,M9,M2 + M9,0.999,0.0,0.0,0.0,1.0,0.5052900314331055
D4,M3,M9,M3 + M9,0.999,0.0,0.0,0.0,1.0,0.23445391654968262
D4,M4,M9,M4 + M9,0.999,0.0,0.0,0.0,1.0,0.2794067859649658
D4,M5,M9,M5 + M9,0.999,0.0,0.0,0.0,0.8828828828828829,0.7826790809631348
D4,M1,M10,M1 + M10,0.999,0.5,1.0,0.6666666666666666,0.9994994994994996,1.2218661308288574
D4,M2,M10,M2 + M10,0.999,0.0,0.0,0.0,1.0,0.48171186447143555
D4,M3,M10,M3 + M10,0.999,0.0,0.0,0.0,1.0,0.21677184104919434
D4,M4,M10,M4 + M10,0.999,0.0,0.0,0.0,1.0,0.28162193298339844
D4,M5,M10,M5 + M10,0.834,0.0,0.0,0.0,0.11111111111111116,0.5471808910369873
D5,M1,M6,M1 + M6,0.995,0.5454545454545454,1.0,0.7058823529411765,0.9972334004024145,0.7897891998291016
D5,M2,M6,M2 + M6,0.992,0.0,0.0,0.0,0.9885982562038901,0.9458749294281006
D5,M3,M6,M3 + M6,0.994,0.5,0.16666666666666666,0.25,0.9963112005365526,0.1893618106842041
D5,M4,M6,M4 + M6,0.994,0.0,0.0,0.0,0.993963782696177,0.28424811363220215
D5,M5,M6,M5 + M6,0.963,0.030303030303030304,0.16666666666666666,0.05128205128205128,0.5216297786720322,0.543363094329834
D5,M1,M7,M1 + M7,0.992,0.375,0.5,0.42857142857142855,0.9948021462105969,0.7727317810058594
D5,M2,M7,M2 + M7,0.993,0.0,0.0,0.0,0.9912810194500336,0.8425338268280029
D5,M3,M7,M3 + M7,0.993,0.0,0.0,0.0,0.9951374916163649,0.09247589111328125
D5,M4,M7,M4 + M7,0.994,0.5,0.16666666666666666,0.25,0.9928739101274313,0.251767635345459
D5,M5,M7,M5 + M7,0.965,0.0,0.0,0.0,0.4015761234071093,0.4485008716583252
D5,M1,M8,M1 + M8,0.994,0.5,0.6666666666666666,0.5714285714285714,0.8304828973843059,0.7479870319366455
D5,M2,M8,M2 + M8,0.994,0.5,0.16666666666666666,0.25,0.9954728370221329,0.604140043258667
D5,M3,M8,M3 + M8,0.994,0.5,0.16666666666666666,0.25,0.9961435278336687,0.0915229320526123
D5,M4,M8,M4 + M8,0.994,0.5,0.16666666666666666,0.25,0.9933769282360833,0.24739718437194824
D5,M5,M8,M5 + M8,0.965,0.0,0.0,0.0,0.3199195171026157,0.4467918872833252
D5,M1,M9,M1 + M9,0.994,0.5,0.5,0.5,0.9949698189134808,0.7710049152374268
D5,M2,M9,M2 + M9,0.993,0.0,0.0,0.0,0.9877598926894701,0.8721511363983154
D5,M3,M9,M3 + M9,0.994,0.5,0.16666666666666666,0.25,0.9959758551307847,0.10347819328308105
D5,M4,M9,M4 + M9,0.994,0.5,0.16666666666666666,0.25,0.994131455399061,0.24918198585510254
D5,M5,M9,M5 + M9,0.994,0.0,0.0,0.0,0.7743125419181758,1.1549999713897705
D5,M1,M10,M1 + M10,0.992,0.375,0.5,0.42857142857142855,0.994131455399061,0.7582509517669678
D5,M2,M10,M2 + M10,0.993,0.0,0.0,0.0,0.9912810194500334,0.6715981960296631
D5,M3,M10,M3 + M10,0.994,0.5,0.16666666666666666,0.25,0.9969818913480886,0.10788512229919434
D5,M4,M10,M4 + M10,0.994,0.5,0.16666666666666666,0.25,0.994382964453387,0.24863123893737793
D5,M5,M10,M5 + M10,0.965,0.0,0.0,0.0,0.32696177062374243,0.5911517143249512
D1,M1,M6,M1 + M6,0.999,1.0,0.5,0.6666666666666666,0.7492484969939879,0.2903299331665039
D1,M2,M6,M2 + M6,0.996,0.0,0.0,0.0,0.4904809619238477,0.49219703674316406
D1,M3,M6,M3 + M6,0.998,0.0,0.0,0.0,0.688877755511022,0.17221999168395996
D1,M4,M6,M4 + M6,0.999,1.0,0.5,0.6666666666666666,0.7449899799599199,0.1070261001586914
D1,M5,M6,M5 + M6,0.993,0.14285714285714285,0.5,0.2222222222222222,0.8892785571142284,0.4870321750640869
D1,M1,M7,M1 + M7,0.999,1.0,0.5,0.6666666666666666,0.7492484969939879,0.2426762580871582
